id,trial,tested_item_points,recallError,tested_SL,TL,TR,BL,BR,AOI,start,end,duration,entry_n,trial_period,exclude_pp,exclude_trial_phase7,AOI_value
Pri_ET_Study2_1,57,3,117,TR,2,3,1,4,TR,1017,1300,283,2,7,0,0,3
Pri_ET_Study2_1,57,3,117,TR,2,3,1,4,TL,1342,1608,266,3,7,0,0,2
Pri_ET_Study2_1,57,3,117,TR,2,3,1,4,TR,1742,2008,266,4,7,0,0,3
Pri_ET_Study2_1,58,3,25,BL,2,4,3,1,TR,558,1324,766,1,7,0,0,4
Pri_ET_Study2_1,58,3,25,BL,2,4,3,1,TL,1374,1758,384,2,7,0,0,2
Pri_ET_Study2_1,58,3,25,BL,2,4,3,1,TR,1808,2008,200,3,7,0,0,4
Pri_ET_Study2_1,59,1,34,TR,2,1,3,4,BR,291,1725,1434,1,7,0,0,4
Pri_ET_Study2_1,59,1,34,TR,2,1,3,4,BL,1766,1950,184,2,7,0,0,3
Pri_ET_Study2_1,60,1,130,BR,3,2,4,1,TR,616,908,292,1,7,0,0,2
Pri_ET_Study2_1,60,1,130,BR,3,2,4,1,BL,1083,1458,375,2,7,0,0,4
Pri_ET_Study2_1,60,1,130,BR,3,2,4,1,BR,1508,1716,208,3,7,0,0,1
Pri_ET_Study2_1,61,4,69,BL,1,2,4,3,BL,375,742,367,1,7,0,0,4
Pri_ET_Study2_1,61,4,69,BL,1,2,4,3,BR,784,983,199,2,7,0,0,3
Pri_ET_Study2_1,61,4,69,BL,1,2,4,3,TR,1117,1475,358,3,7,0,0,2
Pri_ET_Study2_1,61,4,69,BL,1,2,4,3,TL,1533,2008,475,4,7,0,0,1
Pri_ET_Study2_1,62,4,2,BR,3,1,2,4,BR,584,1000,416,1,7,0,0,4
Pri_ET_Study2_1,62,4,2,BR,3,1,2,4,BL,1042,1217,175,2,7,0,0,2
Pri_ET_Study2_1,62,4,2,BR,3,1,2,4,TL,1250,1700,450,3,7,0,0,3
Pri_ET_Study2_1,62,4,2,BR,3,1,2,4,TR,1750,1975,225,4,7,0,0,1
Pri_ET_Study2_1,63,2,3,TL,2,1,4,3,TL,317,525,208,1,7,0,0,2
Pri_ET_Study2_1,63,2,3,TL,2,1,4,3,BL,567,742,175,2,7,0,0,4
Pri_ET_Study2_1,63,2,3,TL,2,1,4,3,BR,950,1225,275,3,7,0,0,3
Pri_ET_Study2_1,63,2,3,TL,2,1,4,3,BL,1275,1442,167,4,7,0,0,4
Pri_ET_Study2_1,63,2,3,TL,2,1,4,3,TL,1650,2009,359,5,7,0,0,2
Pri_ET_Study2_1,64,4,112,TL,4,3,2,1,TR,275,616,341,1,7,0,0,3
Pri_ET_Study2_1,64,4,112,TL,4,3,2,1,TL,658,958,300,2,7,0,0,4
Pri_ET_Study2_1,64,4,112,TL,4,3,2,1,BL,1183,1383,200,3,7,0,0,2
Pri_ET_Study2_1,64,4,112,TL,4,3,2,1,BR,1424,1833,409,4,7,0,0,1
Pri_ET_Study2_1,65,4,10,BL,1,3,4,2,BL,558,875,317,1,7,0,0,4
Pri_ET_Study2_1,65,4,10,BL,1,3,4,2,TR,1083,1766,683,2,7,0,0,3
Pri_ET_Study2_1,66,2,153,BL,1,3,2,4,BR,258,483,225,1,7,0,0,4
Pri_ET_Study2_1,66,2,153,BL,1,3,2,4,TR,533,933,400,2,7,0,0,3
Pri_ET_Study2_1,66,2,153,BL,1,3,2,4,TL,983,1450,467,3,7,0,0,1
Pri_ET_Study2_1,66,2,153,BL,1,3,2,4,BL,1500,2008,508,4,7,0,0,2
